Blog,Website_Score,Page_rank_score ,Author_Score,Image_Quality_Score,Image_Score,final score ,FAKE/NOTFAKE
https://www.healthline.com/nutrition/how-to-lose-weight-as-fast-as-possible,7.3,3.33,6.84,1.73,9.57,5.754,1
https://food.ndtv.com/health/how-to-lose-weight-in-10-days-tips-and-tricks-1686764,8.5,2.4,6.95,3.56,9.71,6.224,0
https://www.wikihow.life/Lose-Weight-in-10-Days,8.5,0,6.64,6.66,9.85,6.33,0
https://www.stylecraze.com/articles/simple-tips-to-lose-weight-in-10-days/,9,0,7.35,7.55,3.95,5.57,1
https://www.livestrong.com/article/79644-lose-weight-days-exercise/,8.7,2.86,6.75,4.65,6.72,5.936,1
https://www.eatthis.com/how-to-lose-weight-without-going-to-the-gym,8.5,0,6.73,2.58,6.36,4.834,1
https://medium.com/gethealthy/20-tips-to-lose-weight-in-less-than-10-days-3f0421659a72,7.6,1,6.93,5.31,0.38,4.244,1
https://www.onlymyhealth.com/how-lose-weight-quickly-in-ten-days-1312349157,9.1,0,7.04,2.27,9.55,5.592,1
https://www.healthifyme.com/blog/weight-loss-7-days-tips-exercises-side-effects/,9,0,6.7,0.31,9.92,5.186,1
https://ketosolutions.in/?gclid=EAIaIQobChMI2vyp8MjD6wIVFsEWBR3oggXGEAMYAiAAEgJqtfD_BwE#panel-proven-results,8.2,0,6.62,5.23,5.66,5.142,1
https://www.successlearned.com/weight-loss/how-to-lose-weight-10-kgs-in-10-day/,8.1,2,6.89,2.95,9.9,5.968,1
https://www.kent.co.in/blog/how-drinking-water-can-help-you-lose-weight/,9.5,2.3,6.96,0.1,9.45,5.662,1
https://www.thesun.co.uk/fabulous/9688163/weight-loss-fast-easy-body-type/,8.1,0,6.92,2.23,3.45,4.14,1
https://www.gorgeousyouamazinglife.com/lose-10-pounds-in-one-week/,8.6,0,6.27,7.09,6.62,5.716,1
https://www.hairguard.com/hyaluronic-acid-hair-growth/,7.5,3.25,6.83,2.48,0.78,4.168,1
https://www.advancedhairstudioindia.com/blogs/female-pattern-baldness,8.5,0,6.27,5.12,0.22,4.022,1
https://www.hairlossdoctors.com/blog/2018/06/21/causes-of-hair-loss-in-191361,9,1.1,6.86,3.15,0.18,4.058,1
https://www.belgraviacentre.com/blog/teenagers-with-hair-loss-what-can-they-do/,9.1,0,6.81,1.75,9.21,5.374,1
https://blog.daveasprey.com/blog-bulletproof-com-hair-loss-regrow-hair-drugs/,9.2,0,6.81,3.65,9.19,5.77,1
https://www.hairlossdaily.com/female-hair-loss-treatment/,7.7,0,6.27,2.51,8.48,4.992,1
https://hudabeauty.com/us/en_US/blog/hair-loss-causes-best-treatments-65052.html,9,0,6.7,8.58,9.33,6.722,0
https://www.harklinikken.com/blogs/blog/causes-of-hair-loss,7.9,10,6.88,2.86,8.38,7.204,0
https://www.hairlossconsultant.co.uk/hair-care-during-second-phase-of-lockdown/,8.8,10,6.74,1.43,0.6,5.514,1
https://www.healthline.com/health/hair-loss-prevention#1,7.1,2.86,7,1.3,5.42,4.736,1
https://www.hairbuddha.net/how-to-stop-hair-loss-28-simple-remedies-to-grow-your-hair/,7.9,2,6.81,4.24,8.15,5.82,1
https://www.drvenus.in/hair-regrowth-tips/,8.8,1.89,6.93,3.5,9.67,6.158,0
https://vedix.com/blogs/articles/how-to-regrow-hair,8.7,10,6.35,0.39,7.99,6.686,0
https://www.allure.com/story/hair-loss-guide-women-causes-regrowth-treatments,8.7,0,6.88,3.24,0.25,3.814,1
https://www.bebeautiful.in/all-things-hair/hair-concerns/how-to-stop-hair-fall-using-natural-home-remedies,8.7,0,7.02,0.84,2.19,3.75,1
https://www.eatthis.com/best-foods-to-stop-hair-loss/,8.5,5,6.7,0.23,0.18,4.122,1
https://www.prevention.com/food-nutrition/healthy-eating/g29538761/best-food-for-hair-growth/,8,5.33,6.68,3.43,9.02,6.492,0
https://www.healthshots.com/beauty/hair-care/5-vitamins-to-eat-daily-to-reduce-hair-fall-and-hair-loss/,7,1.67,7.27,1.75,4.95,4.528,1
https://www.bbcgoodfood.com/howto/guide/what-eat-healthy-hair,9.2,3.08,6.84,1.4,0.2,4.144,1
https://hudabeauty.com/us/en_US/blog/21-skincare-tips-thatll-transform-your-skin-52826.html,9,10,7.06,3.75,1.73,6.308,0
https://www.wellandgood.com/skinceuticals-discoloration-defense/,9.2,6,6.61,6.33,0.11,5.65,1
https://www.healthshots.com/beauty/skin-care/oily-skin-care-avoid-these-4-foods-to-prevent-acne/,7,2.31,7.24,0.43,1.12,3.62,1
https://www.self.com/story/guide-to-skin-care,8.4,3.2,6.61,4.58,0.18,4.594,1
https://www.nytimes.com/guides/tmagazine/skincare-routine,9.1,0,6.66,2.29,0.28,3.666,1
https://www.chemistryworld.com/features/the-science-of-skincare/5494.article,9.7,0,6.81,6.59,5.6,5.74,1
https://www.allure.com/story/best-skin-care-tips-dermatologists,8.7,3.33,6.96,5,4.27,5.652,1
https://www.myupchar.com/en/beauty,9.3,5,7.06,2.27,0.04,4.734,1
https://travel.earth/15-skin-care-tips-for-winter-travel/,8.8,0,7.15,2.17,0.04,3.632,1
https://www.healthline.com/nutrition/13-acne-remedies,7.3,5,6.88,1.25,2.58,4.602,1
https://www.medicinenet.com/acne/article.htm,8.6,6.67,7.01,1.73,2.59,5.32,1
https://www.theguardian.com/fashion/2020/apr/11/top-10-lockdown-beauty-tips-sali-hughes,9.9,5,7.17,2.13,9.36,6.712,0
https://www.ksat.com/sa-live/2020/10/28/these-4-beauty-tips-might-help-to-maintain-youthful-looking-skin-this-holiday-season/,8.7,3.7,7.32,2.4,9.68,6.36,0
