Serial_number,page 1,page 2,page 3,page 4,page 5,desired page score,Scaled ,Final
1,22.22332,11.10895,11.11308,22.22332,33.33133,33.33133,3.333133,3.33
2,24.00111,15.99956,24.00111,11.99913,23.99908,23.99908,2.399908,2.4
3,35,35,0,0,0,0,0,0
4,26.66611,20.0004,26.66611,26.66611,0.00128,0.00128,0.000128,0
5,14.28429,14.28429,28.57643,14.28642,28.56857,28.56857,2.856857,2.86
6,52.17568,17.39035,8.69643,21.73754,0,0,0,0
7,0,0.004883,0,0,10.004883,10.004883,1.0004883,1
8,,,,,,,0,0
9,29.99996,29.99996,9.998886,29.99996,0.001221,0.001221,0.0001221,0
10,0,0,0,0,0,0,0,0
11,19.99837,13.33659,40,6.666667,19.99837,19.99837,1.999837,2
12,0.002409,0.002409,42.85439,57.13838,23.002409,23.002409,2.3002409,2.3
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,49.99969,28.12337,9.375561,0,32.50137,32.50137,3.250137,3.25
16,0,0,0,0,0,0,0,0
17,0.009655,0.007575,0,0.002806,11.009655,11.009655,1.1009655,1.1
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,,,,,,,0,0
22,0.006095152619,4.18E-06,0,0,99.99390067,99.99390067,9.999390067,10
23,0,0,0,0,100,100,10,10
24,9.525073332,35.71349054,14.28791967,11.90301313,28.57050333,28.57050333,2.857050333,2.86
25,30.0012207,39.99755859,0,10.0012207,20,20,2,2
26,33.96574432,20.75345094,15.09299678,11.31922782,18.86858013,18.86858013,1.886858013,1.89
27,1.42E-11,0.007482268781,0.01722998686,2.13E-11,99.97528774,99.97528774,9.997528774,10
28,83.3203125,0.006103515625,0.00732421875,0.004069010417,0,0,0,0
29,0.004069010417,0,99.99186198,0,0.004069010417,0.004069010417,0.0004069010417,0
30,0,0,0,50,50,50,5,5
31,26.66503906,20,0,0,53.33496094,53.33496094,5.333496094,5.33
32,20.83272717,24.99906452,25.00067538,12.49979236,16.66774057,16.66774057,1.666774057,1.67
33,15.38686554,15.38314829,23.07922066,15.38075168,30.77001383,30.77001383,3.077001383,3.08
34,0.001744126421,0.004307908603,0.001214827353,0.0007316978736,99.99200144,99.99200144,9.999200144,10
35,0,40,0,0,60,60,6,6
36,23.07523632,46.15542145,0,7.691649266,23.07769296,23.07769296,2.307769296,2.31
37,15.9981276,32.00302961,20,0,31.99884279,31.99884279,3.199884279,3.2
38,0.02403901978,0.03428652442,99.8637354,0.03274986489,0.04518919192,0.04518919192,0.004518919192,0
39,0.001220703125,0.003662109375,99.99267578,0.001220703125,0.001220703125,0.001220703125,0.0001220703125,0
40,24.99931574,24.99701023,0,16.66782022,33.33585382,33.33585382,3.333585382,3.33
41,25.00202699,24.99777014,1.78E-14,1.78E-14,50.00020287,50.00020287,5.000020287,5
42,59.99634207,20,4.18E-06,20,0.003653746369,0.003653746369,0.0003653746369,0
43,37.50111015,12.50154114,0,0,49.99734871,49.99734871,4.999734871,5
44,0.006855866935,33.33039107,0.003761011035,0,66.65899206,66.65899206,6.665899206,6.67
45,37.50055237,12.50217378,0,0,49.99727385,49.99727385,4.999727385,5
46,25.92834805,7.40667278,7.40667278,22.22424394,37.03406245,37.03406245,3.703406245,3.7
47,0,0,0,0,100,100,10,10
48,16.66883255,22.22111342,11.11022885,5.554985036,44.44484014,44.44484014,4.444484014,4.44
49,17.64656878,26.46941178,0,11.76454667,44.11947277,44.11947277,4.411947277,4.41
50,18.18240812,27.27215584,0,4.77E-06,54.54543127,54.54543127,5.454543127,5.45
51,23.07878331,11.53931561,15.38297442,15.38523501,34.61369166,34.61369166,3.461369166,3.46
52,0.0048828125,0,33.33007813,0,66.66503906,66.66503906,6.666503906,6.67
53,8.825831911,2.942681808,20.5866253,23.53114137,44.11371961,44.11371961,4.411371961,4.41
54,23.07670113,15.38442014,7.692280985,30.76914301,23.07745473,23.07745473,2.307745473,2.31
55,31.31794223,10.98860003,13.18751587,19.78151569,24.72442618,24.72442618,2.472442618,2.47
56,18.58723363,14.15923119,24.77726531,15.92725882,26.54901105,26.54901105,2.654901105,2.65
57,22.1051916,8.423483684,29.47132466,2.105191708,37.89480835,37.89480835,3.789480835,3.79
58,23.07706539,10.25495662,15.38486504,5.129618255,46.15349469,46.15349469,4.615349469,4.62
59,33.33374023,0.001220703125,0,0.001220703125,66.66381836,66.66381836,6.666381836,6.67
60,0,0.00244140625,0,0.00244140625,99.99511719,99.99511719,9.999511719,10
61,0,0.00244140625,0.00244140625,0,89.99511719,89.99511719,8.999511719,9
62,0,0.00244140625,0.00244140625,0,99.99511719,99.99511719,9.999511719,10
